Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Performance % 1 year,Performance % 6 months,Performance % 1 month,"Earnings per share diluted growth %, Annual YoY","Revenue growth %, Annual YoY","Debt to equity ratio, Quarterly","Current ratio, Quarterly","Net margin %, Trailing 12 months","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency",Industry,Country or region of registration
DLG,De'Longhi S.p.A.,6443832704.372379,USD,17.691620006587303,18.16467630421119,33.42796309439319,2.4523160762942737,24.117682668442406,13.694309259345388,0.39746708883687903,1.54213861761638,8.78758495928576,401741709.6,USD,Electronics/Appliances,Italy
CBAV,Clinica Baviera SA,959796427.1269699,USD,20.24573062359941,60.7361963190184,19.09090909090909,15.929203539822998,13.877810007251634,16.771979076607987,0.6907099972002451,1.53499258570058,14.10051516573,54581235.6128,USD,Hospital/Nursing management,Spain
TIMA,ZEAL Network SE,1264147905.31657,USD,21.681766206350602,9.070796460176979,2.2821576763485356,0.6122448979591779,355.38513399629187,62.16975441619992,0.41130349558967705,1.5267502959563,20.8682791021402,110800898.56,USD,Movies/Entertainment,Germany
AMUN,Amundi SA,17603708481.72649,USD,9.103778189983403,13.460076045627368,4.628330995792423,7.260963335729687,11.723871962977247,11.015006952764898,1.6908402773811302,1.51811256198992,23.6934792441544,2145188113.42,USD,Investment managers,France
BOL,Boliden AB,18333178325.3358,USD,20.405069222870768,70.6628242074928,89.20127795527158,18.44000000000001,65.04492332635276,13.561371795198207,0.330006049606776,1.50682034910237,8.82933678506395,720649500,USD,Other metals/Minerals,Sweden
KCR,Konecranes Oyj,8781285129.13526,USD,20.38152404053693,66.63865546218489,32.997987927565404,7.363291824580413,33.83482529598613,6.572876484380909,0.374545268227699,1.50191403259324,9.10957449319142,657947808,USD,Trucks/Construction/Farm machinery,Finland
YRM,Rosetti Marino S.p.A.,1429250434.47895,USD,36.419983486591335,557.1428571428571,218.8118811881188,17.51824817518248,323.0495305924248,64.10412847647859,0.42649747284654305,1.47098622654331,4.91130358513321,36954724.29000001,USD,Engineering & construction,Italy
SCATC,Scatec ASA,1841057690.9928298,USD,21.234003002788302,55.09138381201045,12.606635071090045,14.011516314779266,108.43833814078236,28.508384818611272,2.9801599052413503,1.46817285278824,23.7764108049989,-416675871.36480004,USD,Alternative power generation,Norway
HLUN_A,H. Lundbeck A/S Class A,5410740970.4628,USD,10.021083318149874,16.843702579666154,26.853377265238876,8.910891089108908,37.35863772260497,10.767376456408197,0.493300997892895,1.4673769771529,15.8787727196932,456601600,USD,Pharmaceuticals: major,Denmark
IDR,"Indra Sistemas, S.A. Class A",11409699354.56828,USD,24.924540382328733,190.35695258391053,43.57218124341412,12.696443341604633,44.75902510536927,11.507637911598058,0.476709415908034,1.45655416012559,7.60533636590799,,,Information technology services,Spain
