time,open,close,high,low,volume
2023-02-07 13:00:00,1867.38,1870.38,1872.76,1867.37,13094
2023-02-07 14:00:00,1870.39,1869.82,1870.92,1865.63,19189
2023-02-07 15:00:00,1869.8,1870.82,1872.01,1867.51,20270
2023-02-07 16:00:00,1870.8,1879.36,1879.8,1866.58,22959
2023-02-07 17:00:00,1879.37,1874.49,1880.07,1874.13,19896
2023-02-07 18:00:00,1874.5,1880.54,1884.28,1870.15,26688
2023-02-07 19:00:00,1880.51,1869.21,1882.68,1864.89,39944
2023-02-07 20:00:00,1869.23,1871.68,1874.56,1868.83,20356
2023-02-07 21:00:00,1871.69,1870.16,1872.19,1868.01,10184
2023-02-07 22:00:00,1870.15,1873.69,1877.97,1867.3,6542
2023-02-08 00:00:00,1872.81,1872.86,1873.18,1871.36,2676
2023-02-08 01:00:00,1872.87,1876.58,1876.69,1872.43,6251
2023-02-08 01:00:00,1872.87,1876.58,1876.69,1872.43,6251
2023-02-08 02:00:00,1876.57,1875.97,1878.39,1875.02,10502
2023-02-08 03:00:00,1875.96,1876.93,1876.93,1874.24,7502
2023-02-08 04:00:00,1876.92,1876.35,1877.63,1875.68,5010
2023-02-08 05:00:00,1876.34,1877.01,1878.3,1875.98,4207
2023-02-08 06:00:00,1877.03,1876.88,1877.27,1874.96,5007
2023-02-08 07:00:00,1876.87,1876.2,1878.56,1876.16,6924
2023-02-08 08:00:00,1876.19,1886.54,1886.54,1873.25,12764
2023-02-08 09:00:00,1886.53,1883.89,1886.53,1879.53,16789
2023-02-08 10:00:00,1883.9,1886.02,1886.07,1882.56,13051
2023-02-08 11:00:00,1886.03,1880.61,1886.03,1878.52,11329
2023-02-08 12:00:00,1880.62,1880.12,1882.62,1879.14,9954
2023-02-08 13:00:00,1880.11,1879.66,1883.48,1878.29,11583
2023-02-08 14:00:00,1879.69,1877.59,1879.71,1872.47,16729
2023-02-08 15:00:00,1877.58,1873.38,1882.98,1868.94,25566
2023-02-08 16:00:00,1873.37,1873.78,1874.49,1869.76,24772
2023-02-08 17:00:00,1873.77,1875.31,1878.91,1872.13,20154
2023-02-08 18:00:00,1875.32,1875.62,1877.19,1873.64,13463
2023-02-08 19:00:00,1875.63,1877.88,1879.78,1875.44,15501
2023-02-08 20:00:00,1877.86,1876.09,1878.38,1875.71,9591
2023-02-08 21:00:00,1876.08,1875.09,1876.16,1873.67,7709
2023-02-08 22:00:00,1875.1,1875.34,1875.98,1874.92,2658
2023-02-09 00:00:00,1874.59,1874.9,1875.82,1874.53,3054
2023-02-09 01:00:00,1874.89,1874.25,1875.41,1873.58,4955
2023-02-09 02:00:00,1874.24,1876.86,1876.86,1871.93,9418
2023-02-09 03:00:00,1876.85,1879.14,1880.31,1876.66,6950
2023-02-09 04:00:00,1879.15,1878.81,1880.09,1878.36,5377
2023-02-09 05:00:00,1878.8,1879.63,1879.74,1878.59,3545
2023-02-09 06:00:00,1879.64,1879.08,1881.56,1877.84,7805
2023-02-09 07:00:00,1879.09,1880.85,1881.58,1878.7,7279
2023-02-09 08:00:00,1880.86,1880.57,1882.05,1876.88,12598
2023-02-09 09:00:00,1880.56,1883.81,1885.45,1879.94,15296
2023-02-09 10:00:00,1883.8,1883.04,1885.46,1879.84,11939
2023-02-09 11:00:00,1883.03,1885.55,1886.07,1880.98,12850
2023-02-09 12:00:00,1885.57,1882.07,1885.7,1880.43,10245
2023-02-09 13:00:00,1882.09,1882.02,1884.43,1880.57,10544
2023-02-09 14:00:00,1882.01,1889.49,1889.7,1879.68,21472
2023-02-09 15:00:00,1889.5,1879.31,1890.12,1878.79,24748
2023-02-09 16:00:00,1879.29,1874.1,1881.64,1872.36,29216
2023-02-09 17:00:00,1874.09,1874.06,1875.69,1865.44,26277
2023-02-09 18:00:00,1874.05,1868.39,1874.94,1862.8,16490
2023-02-09 19:00:00,1868.4,1866.22,1869.56,1865.1,16531
2023-02-09 20:00:00,1866.21,1861.85,1869.55,1859.82,16735
2023-02-09 21:00:00,1861.86,1860.71,1862.36,1858.87,12627
2023-02-09 22:00:00,1860.74,1861.48,1862.41,1860.35,4569
2023-02-10 00:00:00,1862.18,1862.27,1862.41,1861.18,2385
2023-02-10 01:00:00,1862.28,1862.75,1862.75,1859.79,6590
2023-02-10 02:00:00,1862.78,1862.1,1865.35,1858.97,12136
2023-02-10 03:00:00,1862.08,1859.92,1863.32,1859.74,7786
2023-02-10 04:00:00,1859.88,1855.25,1860.88,1855.24,9475
2023-02-10 05:00:00,1855.24,1853.9,1855.73,1853.82,6256
2023-02-10 06:00:00,1853.89,1860.0,1860.15,1852.69,9944
2023-02-10 07:00:00,1860.03,1859.37,1861.73,1857.82,9935
2023-02-10 08:00:00,1859.38,1866.1,1866.95,1857.56,22122
2023-02-10 09:00:00,1866.11,1867.63,1872.16,1865.86,23895
2023-02-10 10:00:00,1867.64,1864.06,1869.85,1861.27,22180
2023-02-10 11:00:00,1864.05,1862.88,1864.93,1860.4,14356
2023-02-10 12:00:00,1862.87,1864.65,1864.8,1860.66,12693
2023-02-10 13:00:00,1864.67,1863.89,1865.17,1862.61,12580
2023-02-10 14:00:00,1863.88,1866.9,1868.48,1861.64,23271
2023-02-10 15:00:00,1866.91,1861.49,1868.43,1860.11,23466
2023-02-10 16:00:00,1861.5,1859.8,1866.7,1858.92,28753
2023-02-10 17:00:00,1859.78,1858.12,1861.56,1856.28,19373
2023-02-10 18:00:00,1858.11,1861.63,1863.79,1857.51,12775
2023-02-10 19:00:00,1861.62,1861.97,1864.35,1861.07,9779
2023-02-10 20:00:00,1861.98,1863.6,1864.61,1861.3,7377
2023-02-10 21:00:00,1863.61,1864.16,1864.94,1862.62,7121
2023-02-10 22:00:00,1864.18,1865.5,1865.69,1863.18,3206
2023-02-13 00:00:00,1863.95,1862.69,1865.17,1862.6,4317
2023-02-13 01:00:00,1862.7,1863.03,1863.47,1860.65,5989
2023-02-13 01:00:00,1862.7,1863.03,1863.47,1860.65,5989
2023-02-13 02:00:00,1863.01,1861.35,1863.76,1858.01,11925
2023-02-13 03:00:00,1861.36,1861.43,1862.33,1859.75,8180
2023-02-13 04:00:00,1861.45,1858.75,1862.02,1858.75,6524
2023-02-13 05:00:00,1858.74,1857.61,1859.56,1857.58,4203
2023-02-13 06:00:00,1857.62,1859.58,1860.29,1856.87,7117
2023-02-13 07:00:00,1859.59,1862.81,1866.48,1859.28,10323
2023-02-13 08:00:00,1862.78,1863.86,1865.72,1862.13,11382
2023-02-13 09:00:00,1863.85,1862.36,1864.04,1859.91,14249
2023-02-13 10:00:00,1862.37,1856.99,1862.39,1854.58,12783
2023-02-13 11:00:00,1856.98,1858.55,1859.24,1853.69,10384
2023-02-13 12:00:00,1858.52,1862.03,1862.61,1858.51,11939
2023-02-13 13:00:00,1862.07,1860.53,1862.91,1859.3,11296
2023-02-13 14:00:00,1860.52,1856.83,1862.24,1855.47,18385
2023-02-13 15:00:00,1856.85,1856.69,1859.24,1853.12,22076
2023-02-13 16:00:00,1856.7,1855.14,1858.32,1854.52,20877
2023-02-13 17:00:00,1855.13,1851.15,1855.79,1850.58,15831
2023-02-13 18:00:00,1851.12,1851.45,1853.59,1850.56,9514
2023-02-13 19:00:00,1851.48,1855.05,1855.63,1850.38,7902
2023-02-13 20:00:00,1855.07,1852.72,1855.54,1851.21,6615
2023-02-13 21:00:00,1852.71,1854.14,1854.4,1851.21,6958
2023-02-13 22:00:00,1854.12,1853.26,1854.39,1852.84,2755
2023-02-14 00:00:00,1853.54,1854.29,1854.45,1853.17,1701
2023-02-14 01:00:00,1854.3,1856.14,1856.61,1853.89,5385
2023-02-14 02:00:00,1856.13,1856.47,1856.55,1854.33,8490
2023-02-14 03:00:00,1856.48,1857.47,1858.48,1855.54,7146
2023-02-14 04:00:00,1857.48,1858.08,1858.34,1856.19,3890
2023-02-14 05:00:00,1858.09,1858.17,1859.02,1857.06,3018
2023-02-14 06:00:00,1858.18,1859.37,1859.42,1857.74,4463
2023-02-14 07:00:00,1859.36,1862.22,1865.0,1858.79,8953
2023-02-14 08:00:00,1862.23,1858.67,1864.12,1857.9,11659
2023-02-14 09:00:00,1858.68,1860.02,1861.46,1857.73,13284
2023-02-14 10:00:00,1860.03,1862.52,1863.77,1859.38,12657
2023-02-14 11:00:00,1862.53,1859.07,1862.99,1859.04,9738
