timestamp_entry,timestamp_exit,direction,direction_filter,threshold,wf_window,entry_price,exit_price,exit_reason,pnl_points,pnl_pct
2024-09-06T11:00:00Z,2024-09-06T11:30:00Z,Short,dir_donchian,0.65,19,2516.92,2519.5986,trail,-3.1786,-0.12629
2024-09-06T11:30:00Z,2024-09-06T13:30:00Z,Long,dir_donchian,0.65,19,2519.54,2516.8304,trail,-3.2096,-0.12739
2024-09-10T12:00:00Z,2024-09-10T13:15:00Z,Long,dir_donchian,0.65,19,2506.88,2504.5814,trail,-2.7986,-0.11164
2024-09-10T14:45:00Z,2024-09-10T15:30:00Z,Long,dir_donchian,0.65,19,2513.74,2511.1731,trail,-3.0669,-0.12201
2024-09-12T12:00:00Z,2024-09-12T12:30:00Z,Long,dir_donchian,0.65,19,2520.09,2517.3482,trail,-3.2418,-0.12864
2024-09-13T06:00:00Z,2024-09-13T07:45:00Z,Long,dir_donchian,0.65,19,2567.41,2566.413,trail,-1.497,-0.05831
2024-09-13T11:00:00Z,2024-09-13T11:45:00Z,Long,dir_donchian,0.65,19,2568.76,2567.1474,trail,-2.1126,-0.08224
2024-09-18T11:45:00Z,2024-09-18T12:30:00Z,Long,dir_donchian,0.65,19,2571.88,2577.2447,tp,4.8647,0.18915
2024-09-18T12:45:00Z,2024-09-18T14:00:00Z,Long,dir_donchian,0.65,19,2576.07,2576.3846,trail,-0.1854,-0.0072
2024-09-20T11:00:00Z,2024-09-20T11:45:00Z,Long,dir_donchian,0.65,19,2608.98,2604.9166,trail,-4.5634,-0.17491
2024-09-20T12:00:00Z,2024-09-20T13:30:00Z,Long,dir_donchian,0.65,19,2608.04,2615.0751,tp,6.5351,0.25058
2024-09-25T13:45:00Z,2024-09-25T15:00:00Z,Long,dir_donchian,0.65,19,2657.34,2664.1058,tp,6.2658,0.23579
2024-09-27T12:00:00Z,2024-09-27T13:15:00Z,Short,dir_donchian,0.65,19,2663.83,2668.0083,trail,-4.6783,-0.17562
2024-09-27T13:15:00Z,2024-09-27T14:00:00Z,Long,dir_donchian,0.65,19,2667.09,2664.5362,trail,-3.0538,-0.1145
2024-10-01T11:15:00Z,2024-10-01T13:15:00Z,Long,dir_donchian,0.65,19,2647,2648.2147,trail,0.7147,0.027
