symbol,date,entry_price,return_90d,return_180d,sp500_90d,sp500_180d,msci_90d,msci_180d,rsi,adx
ALFA.ST,2024-10-11,485.600006103516,-0.0345964128900064,-0.145799047406631,0.0289285216170617,0.0798483119871971,0.0196141407157955,0.0846134467382134,60.4657230946573,21.6970754234689
WRT1V.HE,2017-01-20,14.493332862854,0.240800425810771,0.356945722352716,0.0618541663665935,0.122405137281601,0.082931437460123,0.135182262189092,62.6794578044008,21.9995310208332
WRT1V.HE,2017-06-01,17.9833335876465,0.0936051391713969,0.083966647313884,0.0471881019851659,0.12434256965823,0.0386693047051524,0.101031223292787,55.8889252258466,21.5380578658123
WRT1V.HE,2021-01-27,8.71199989318848,0.376262616863966,0.217286463757639,0.126840621398445,0.163441048628426,0.125121999899259,0.136036928733102,55.4143438743516,24.6007162297296
WRT1V.HE,2024-02-01,13.6999998092651,0.434671602940686,0.464963501769623,0.0956200001253996,0.195361368376623,0.0752854601893416,0.166850783767841,62.3634435509471,20.8317165064633
TRN.MI,2019-01-04,5.20800018310547,0.0660521986513786,0.0856374052734818,0.125998257033721,0.181615717012319,0.116741767327518,0.15390394561517,64.4482814183384,29.7978806562908
TRN.MI,2019-02-22,5.43800020217896,0.0794409097680851,0.075395335080684,0.0645762273865665,0.104742063311669,0.0491841301275423,0.0916353607254986,63.4956593520152,20.7013508701778
TRN.MI,2019-02-28,5.46799993515015,0.063277285781471,0.0947330160988354,0.0700810178030842,0.111169388259165,0.049262833389245,0.0949823453068061,62.6598851382247,22.902547438369
TRN.MI,2019-03-07,5.48600006103516,0.045935080612076,0.0619759658777211,0.0928034230649231,0.130789084566553,0.0698158919479194,0.111612817912408,61.0220283036721,20.745170249505
TRN.MI,2023-05-03,7.90000009536743,-0.025063285042204,-0.00658228419602932,0.0907290600363625,0.185706820456212,0.0561683583259765,0.136433070997646,61.3342081738673,27.1140946970644
BOL.ST,2020-08-11,250,0.132,0.326800048828125,0.116624534943552,0.263305912926991,0.134204391263899,0.264559852416466,61.9044104878679,38.3679983584774
BOL.ST,2020-09-04,263.799987792969,0.120925041282025,0.240333689718815,0.107553073956595,0.222112289186702,0.133564032945407,0.236381568680427,61.8809853883377,43.9101332114495
BOL.ST,2020-09-16,271.899993896484,0.0268481738669184,0.270687781374265,0.137093929768492,0.249417410454644,0.143394684553106,0.253515524094735,62.6712661768727,41.8219622873877
BOL.ST,2022-02-14,400.799987792969,-0.148702538426033,-0.197604750752546,-0.111305468228278,-0.123946100889444,-0.127269867370379,-0.148045341991798,61.9584350040629,41.697385184531
BOL.ST,2023-03-01,446.850006103516,-0.249636380859097,-0.360076069595512,0.123467915419645,0.139568608825526,0.0909250488239687,0.10392692296195,54.3621168489199,20.0099544392536
BOL.ST,2024-10-24,338.600006103516,0.129060782344148,-0.0694034246201864,-0.00682626929083128,0.0839090806786987,0.00792842417874248,0.0930307136801293,56.8717539817484,22.6596234467455
BOL.ST,2024-11-07,346.200012207031,0.034662043838473,-0.12622764490516,-0.0511526734973668,0.0613232715129329,-0.0292665113338325,0.0699768756496984,58.5745762795929,25.8037678566714
BOL.ST,2025-03-06,376.600006103516,-0.206054181746842,0.0889537956905712,0.0915184009106497,0.139450545327037,0.08633135684455,0.132979722845641,55.4323328217001,25.7372922184209
AMUN.PA,2016-10-24,44.1894226074219,0.20276956337677,0.431564265583056,0.104112326948899,0.137821714582458,0.0776834426954205,0.131142947637692,56.3030528075364,24.5482229427155
