datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,label_original,entry_time,exit_time,log_return,realized_return_adj,log_return_adj
2019-10-01T09:30:00Z,1461.86,1459.57,1461.9,1459.04,9395,9,2019-10-01,1.93019240236034,0.13224390761391,TRUE,38,1,upper,7,0.00330609769034776,1464.3954810059,1454.7445189941,20,2,0.5,1,2019-10-01T09:30:00Z,2019-10-01T11:15:00Z,0.00330064456511642,0.00317609769034776,0.0031710645464336
2019-10-01T11:15:00Z,1464.3,1465.36,1465.5,1463.37,5069,11,2019-10-01,2.26283361045255,0.154421685487017,TRUE,31,1,upper,19,0.00386054213717538,1471.01708402613,1459.70291597387,20,2,0.5,1,2019-10-01T11:15:00Z,2019-10-01T16:00:00Z,0.00385310936791657,0.00373054213717538,0.00372360092249662
2019-10-01T16:00:00Z,1464.06,1476.83,1477.28,1464.06,38738,16,2019-10-01,3.75409015445846,0.254199207387341,TRUE,12,1,upper,9,0.00635498018468355,1486.21522538615,1467.44477461385,11,2,0.5,1,2019-10-01T16:00:00Z,2019-10-01T18:15:00Z,0.00633487244268187,0.00622498018468355,0.00620568502877469
2019-10-02T02:00:00Z,1481.54,1480.71,1481.89,1480.16,3422,2,2019-10-02,1.64428015838283,0.1110467382798,TRUE,68,-1,lower,17,-0.00277616845699503,1484.82070039596,1476.59929960404,20,1,1,-1,2019-10-02T02:00:00Z,2019-10-02T06:15:00Z,-0.00278002915960854,-0.00290616845699503,-0.00291039956407352
2019-10-02T06:15:00Z,1477.07,1476.77,1477.25,1476.56,2046,6,2019-10-02,1.01798226375567,0.0689330270628244,TRUE,51,1,upper,11,0.00172332567657062,1479.31495565939,1474.22504434061,20,2,0.5,1,2019-10-02T06:15:00Z,2019-10-02T09:00:00Z,0.00172184245468184,0.00159332567657062,0.00159205767992381
2019-10-02T09:00:00Z,1476.57,1479.16,1479.78,1475.81,9240,9,2019-10-02,1.55553579867863,0.105163457548786,TRUE,40,1,upper,2,0.00262908643871969,1483.0488394967,1475.2711605033,20,2,0.5,1,2019-10-02T09:00:00Z,2019-10-02T09:30:00Z,0.00262563643654825,0.00249908643871969,0.00249596891509943
2019-10-02T09:30:00Z,1482.38,1481.36,1484.3,1481.02,10835,9,2019-10-02,1.94708399692969,0.131438947786472,TRUE,38,1,upper,15,0.00328597369466187,1486.22770999232,1476.49229000768,20,2,0.5,1,2019-10-02T09:30:00Z,2019-10-02T13:15:00Z,0.00328058668093186,0.00315597369466187,0.00315100406295378
2019-10-02T13:15:00Z,1485.56,1486.11,1487.94,1485.43,5820,13,2019-10-02,1.83017372032171,0.123151968583867,TRUE,23,1,upper,6,0.00307879921459671,1490.6854343008,1481.5345656992,20,2,0.5,1,2019-10-02T13:15:00Z,2019-10-02T14:45:00Z,0.00307406941787102,0.00294879921459671,0.00294446003434734
2019-10-02T14:45:00Z,1488.44,1492.38,1492.57,1487.28,10096,14,2019-10-02,2.68475504210146,0.179897549022465,TRUE,17,1,upper,9,0.00449743872556162,1499.09188760525,1485.66811239475,16,2,0.5,1,2019-10-02T14:45:00Z,2019-10-02T17:00:00Z,0.00448735546926445,0.00436743872556162,0.00435792914334214
2019-10-02T17:00:00Z,1495.52,1498.43,1499.58,1494.87,12042,17,2019-10-02,3.52244674686617,0.235075829158931,TRUE,8,0,vertical,7,0.00239584098022592,1507.23611686717,1489.62388313283,7,2,0.5,0,2019-10-02T17:00:00Z,2019-10-02T18:45:00Z,0.0023929755290888,0.00226584098022592,0.00226327783361027
2019-10-03T02:00:00Z,1499.99,1499.53,1501.29,1499.42,3775,2,2019-10-03,1.41637624492667,0.094454678794467,TRUE,68,0,vertical,20,-0.000753569451761473,1503.07094061232,1495.98905938768,20,1,1,0,2019-10-03T02:00:00Z,2019-10-03T07:00:00Z,-0.000753853527943895,-0.000883569451761473,-0.000883960029334756
2019-10-03T07:00:00Z,1498.6,1498.4,1498.6,1497.62,1474,7,2019-10-03,1.07991080458801,0.0720709292971174,TRUE,48,1,upper,4,0.00180177323242786,1501.09977701147,1495.70022298853,20,2,0.5,1,2019-10-03T07:00:00Z,2019-10-03T08:00:00Z,0.00180015198615723,0.00167177323242786,0.00167037737504564
