datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,entry_time,exit_time
2021-09-30T14:45:00Z,1732.19,1737.02,1737.75,1730.44,9991,14,2021-09-30,3.04307626267405,0.175189477534746,TRUE,17,1,upper,5,0.00437973693836872,1744.62769065669,1729.41230934331,16,1,1,2021-09-30T14:45:00Z,2021-09-30T16:00:00Z
2021-09-30T16:15:00Z,1747.56,1753.92,1754.74,1746.24,11961,16,2021-09-30,4.50942178211177,0.257105328755689,TRUE,11,0,vertical,10,0.0024003375296479,1765.19355445528,1742.64644554472,10,1,1,2021-09-30T16:15:00Z,2021-09-30T18:45:00Z
2021-10-01T02:00:00Z,1752.93,1751.8,1753.46,1751.7,3173,2,2021-10-01,1.31008030097791,0.0747848099656302,TRUE,68,1,upper,5,0.00186962024914076,1755.07520075244,1748.52479924756,20,1,1,2021-10-01T02:00:00Z,2021-10-01T03:15:00Z
2021-10-01T15:00:00Z,1756.48,1756.91,1757.43,1755.05,8556,15,2021-10-01,2.8902571275347,0.164507978640608,TRUE,16,1,upper,6,0.00411269946601524,1764.13564281884,1749.68435718116,15,1,1,2021-10-01T15:00:00Z,2021-10-01T16:30:00Z
2021-10-04T02:00:00Z,1763.11,1764.81,1764.85,1762.67,2682,2,2021-10-04,1.41169061766989,0.079991082194111,TRUE,68,-1,lower,9,-0.00199977705485274,1768.33922654417,1761.28077345583,20,1,1,2021-10-04T02:00:00Z,2021-10-04T04:15:00Z
2021-10-04T16:30:00Z,1760.71,1767.14,1767.66,1759.06,10674,16,2021-10-04,4.40280476489563,0.24914861102661,TRUE,10,0,vertical,9,0.00109216021367851,1778.14701191224,1756.13298808776,9,1,1,2021-10-04T16:30:00Z,2021-10-04T18:45:00Z
2021-10-05T02:00:00Z,1768.16,1767.71,1768.35,1767.06,2903,2,2021-10-05,1.293485638707,0.0731729547667322,TRUE,68,-1,lower,6,-0.00182932386916829,1770.94371409677,1764.47628590323,20,1,1,2021-10-05T02:00:00Z,2021-10-05T03:30:00Z
2021-10-06T02:00:00Z,1759.4,1758.28,1759.48,1758.02,2430,2,2021-10-06,0.884687616392495,0.0503155138198976,TRUE,68,-1,lower,5,-0.00125788784549746,1760.49171904098,1756.06828095902,20,1,1,2021-10-06T02:00:00Z,2021-10-06T03:15:00Z
2021-10-06T09:15:00Z,1748.32,1751.06,1752.18,1748.04,8447,9,2021-10-06,2.43993361629736,0.139340377616836,TRUE,39,1,upper,19,0.0034835094404209,1757.15983404074,1744.96016595926,20,1,1,2021-10-06T09:15:00Z,2021-10-06T14:00:00Z
2021-10-07T02:00:00Z,1763.95,1763.3,1764.17,1762.66,2480,2,2021-10-07,1.0516126260586,0.0596388944625758,TRUE,68,-1,lower,7,-0.00149097236156442,1765.92903156515,1760.67096843485,20,1,1,2021-10-07T02:00:00Z,2021-10-07T03:45:00Z
2021-10-07T14:45:00Z,1754.98,1755.02,1757.22,1754.67,7650,14,2021-10-07,2.35984352415209,0.13446248613418,TRUE,17,1,upper,5,0.00336156215335448,1760.91960881038,1749.12039118962,16,1,1,2021-10-07T14:45:00Z,2021-10-07T16:00:00Z
2021-10-08T02:00:00Z,1754.87,1753.58,1754.87,1753.53,2037,2,2021-10-08,1.02581730521782,0.0584984605902106,TRUE,68,1,upper,3,0.00146246151475523,1756.14454326304,1751.01545673696,20,1,1,2021-10-08T02:00:00Z,2021-10-08T02:45:00Z
2021-10-08T03:15:00Z,1756.77,1757.83,1758.01,1756.14,5740,3,2021-10-08,1.30069126055807,0.0739941439478258,TRUE,63,0,vertical,20,0.000881768999277622,1761.0817281514,1754.57827184861,20,1,1,2021-10-08T03:15:00Z,2021-10-08T08:15:00Z
