Strategy,Instrument,Symbol,Params,Param_period,Param_lower,Param_upper,Param_exit_mid,Param_atr_period,Param_sl_atr_mult,Param_tp_atr_mult,Cost_bps_side,Execution,Bars_per_Year,Bars_IS,Bars_OS,IS_Sharpe,IS_Sortino,IS_ProfitFactor,IS_Trades,OS_Sharpe,OS_Sortino,OS_Calmar,OS_CAGR,OS_MaxDD,OS_TotalReturn,OS_WinRate,OS_ProfitFactor,OS_Trades,OS_Exposure,Worst_Year_Ret,Yearly_Breakdown,Error,F1_OS_MaxDD_above_neg15,F2_OS_PF_gt_1.2,F3_OS_Sortino_gt_1.0,F4_OS_Calmar_gt_0.5,F5_IS_PF_gt_1.0,F6_OS_WinRate_band,F7_AllYearsProfitable,Active_Filters,PASSED_ALL,Param_entry_z,Param_exit_z,Param_ema_period,Param_mult,Param_cmo_period,Param_cmo_threshold,Param_vhf_period,Param_vhf_threshold,Param_stc_fast,Param_stc_slow,Param_stc_cycle,Param_stc_entry_long,Param_stc_entry_short,Param_lookback,Param_exit_n,Param_tenkan_n,Param_kijun_n,Param_senkou_b_n,Param_displacement,Param_cloud_filter,Param_fast,Param_slow,Param_min_session_bar,Param_flat_overnight,Param_signal,Param_trend_len,Param_session_start_h,Param_session_end_h,Param_or_bars,Param_last_entry_h,Param_bb_mult,Param_kc_mult,Param_ema_len,Param_rsi_len,Param_rsi_buy,Param_rsi_sell,Param_prev_close_h,Param_sess_start_h,Param_sess_start_m,Param_exit_h,Param_exit_m,Param_gap_thresh,Param_direction,Param_st_period,Param_st_mult,Param_or_candles,Param_gap_atr_mult,Param_atr_n,Param_adx_filter,Param_vol_lookback,Param_vol_threshold,Param_kc_length,Param_ma_fast_len,Param_ma_slow_len,Param_min_range,Param_breakout_window,Param_min_kc_dist_pct,Param_rsi_length,Param_div_lookback,Param_max_dtd_pct,Param_threshold,Param_exit_level
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",,,,,10,1.5,3.0,4.01,next_open,72576,171774,73618,-6.228,-2.371,0.698,1583,-2.305,-0.917,-0.866,-0.3679,-0.425,-0.372,0.3297,0.882,643,0.127,-0.4503,2023:-40.8% 2024:-45.0% 2025:-43.7% 2026:-20.5%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=4.0",,,,,10,1.5,4.0,4.01,next_open,72576,171774,73618,-5.879,-2.501,0.689,1583,-2.018,-0.888,-0.792,-0.3668,-0.4628,-0.3709,0.2768,0.89,643,0.161,-0.4903,2023:-42.0% 2024:-49.0% 2025:-40.8% 2026:-22.2%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=2.0, tp_atr_mult=2.0",,,,,10,2.0,2.0,4.01,next_open,72576,171774,73618,-6.841,-2.506,0.669,1583,-2.091,-0.782,-0.864,-0.3229,-0.3736,-0.3267,0.5023,0.912,643,0.115,-0.5061,2023:-36.7% 2024:-50.6% 2025:-46.0% 2026:-13.3%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=2.0, tp_atr_mult=3.0",,,,,10,2.0,3.0,4.01,next_open,72576,171774,73618,-5.768,-2.484,0.712,1583,-1.96,-0.869,-0.855,-0.3582,-0.4187,-0.3623,0.3919,0.897,643,0.168,-0.4571,2023:-38.8% 2024:-45.7% 2025:-44.6% 2026:-22.8%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=2.0, tp_atr_mult=4.0",,,,,10,2.0,4.0,4.01,next_open,72576,171774,73618,-5.356,-2.559,0.716,1583,-1.654,-0.809,-0.757,-0.3422,-0.4522,-0.3461,0.3375,0.914,643,0.208,-0.493,2023:-39.6% 2024:-49.3% 2025:-38.7% 2026:-25.1%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",,,,,10,2.5,2.0,4.01,next_open,72576,171774,73618,-6.769,-2.661,0.657,1583,-2.989,-1.194,-0.96,-0.4511,-0.4699,-0.4558,0.5288,0.814,643,0.141,-0.5051,2023:-39.2% 2024:-50.5% 2025:-50.5% 2026:-27.4%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",,,,,10,2.5,3.0,4.01,next_open,72576,171774,73618,-5.443,-2.516,0.722,1583,-2.425,-1.157,-0.925,-0.4467,-0.4827,-0.4514,0.4215,0.844,643,0.204,-0.4697,2023:-39.3% 2024:-44.0% 2025:-47.0% 2026:-33.4%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=4.0",,,,,10,2.5,4.0,4.01,next_open,72576,171774,73618,-5.155,-2.643,0.722,1583,-2.378,-1.244,-0.865,-0.4783,-0.5532,-0.4831,0.3577,0.833,643,0.251,-0.4814,2023:-41.8% 2024:-48.1% 2025:-40.6% 2026:-41.1%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",,,,,14,1.5,2.0,4.01,next_open,72576,171774,73618,-7.21,-2.346,0.682,1583,-2.695,-0.899,-0.946,-0.3497,-0.3698,-0.3537,0.4277,0.885,643,0.086,-0.4716,2023:-38.6% 2024:-47.2% 2025:-40.9% 2026:-16.1%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",,,,,14,1.5,3.0,4.01,next_open,72576,171774,73618,-6.228,-2.369,0.701,1583,-2.492,-0.98,-0.9,-0.3879,-0.431,-0.3922,0.3297,0.865,643,0.127,-0.446,2023:-40.6% 2024:-44.6% 2025:-43.0% 2026:-23.0%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
