datetime,open,high,low,close,label,barrier_touched,bars_to_exit,log_return,pred_prob_long,pred_prob_short,signal,signal_long,signal_short,log_return_calculated,pnl,trade_direction,label_return_for_trade,label_direction,is_aligned,label_profitable,signal_profitable,aligned_and_profitable
2025-06-26T14:45:00Z,3334.15,3335.33,3321.64,3321.95,-1,lower,3,-0.0034386052552912,0.334835767745972,0.700154542922974,-1,0,1,-0.00156958709312069,0.00156958709312069,Short,0.0034386052552912,-1,TRUE,TRUE,TRUE,TRUE
2025-06-27T02:00:00Z,3318.66,3319.85,3314.9,3316.74,0,vertical,6,-9.04506704657101e-06,0.689380466938019,0.71222847700119,-1,1,1,-0.012917970958115,0.012917970958115,Short,9.04506704657101e-06,0,FALSE,TRUE,TRUE,FALSE
2025-06-27T13:45:00Z,3281.26,3283.52,3275.97,3281.34,-1,lower,1,-0.00249919406033096,0.760541796684265,0.815532863140106,-1,1,1,-0.00174471140619492,0.00174471140619492,Short,0.00249919406033096,-1,TRUE,TRUE,TRUE,TRUE
2025-06-27T14:00:00Z,3281.31,3282.25,3272.29,3275.62,-1,lower,4,-0.00284790654426695,0.789346516132355,0.793952763080597,-1,1,1,-0.00242079062853401,0.00242079062853401,Short,0.00284790654426695,-1,TRUE,TRUE,TRUE,TRUE
2025-06-27T15:00:00Z,3269.95,3270.6,3261.53,3262.72,1,upper,3,0.0034046324813267,0.524883568286896,0.767741918563843,-1,1,1,0.00152517019283585,-0.00152517019283585,Short,-0.0034046324813267,1,FALSE,FALSE,FALSE,FALSE
2025-06-30T06:45:00Z,3279.94,3286.24,3279.92,3285.61,0,vertical,6,0.0015206306855506,0.91164618730545,0.668038606643677,1,1,1,0.00804217892133572,0.00804217892133572,Long,0.0015206306855506,0,FALSE,TRUE,TRUE,FALSE
2025-06-30T09:15:00Z,3294.78,3296.7,3293.72,3295.08,-1,lower,5,-0.00179478837232614,0.726102828979492,0.706898331642151,1,1,1,0.0051640592903796,0.0051640592903796,Long,-0.00179478837232614,-1,FALSE,FALSE,TRUE,FALSE
2025-06-30T14:15:00Z,3281.05,3287.11,3280.95,3284.24,0,vertical,6,0.000149186250175953,0.764914274215698,0.816703021526337,-1,1,1,0.0163983151451486,-0.0163983151451486,Short,-0.000149186250175953,0,FALSE,FALSE,FALSE,FALSE
2025-06-30T15:45:00Z,3283.1,3287,3282.74,3284.73,0,vertical,6,0.000724302510118532,0.554317653179169,0.528830111026764,1,1,1,0.0165216659924024,0.0165216659924024,Long,0.000724302510118532,0,FALSE,TRUE,TRUE,FALSE
2025-07-01T02:00:00Z,3312.42,3313.23,3309.89,3312.14,1,upper,4,0.00143476625074045,0.635022759437561,0.806644678115845,-1,1,1,0.00821161660918436,-0.00821161660918436,Short,-0.00143476625074045,1,FALSE,FALSE,FALSE,FALSE
2025-07-01T08:30:00Z,3328.1,3332.53,3327.28,3332.05,1,upper,3,0.00167085986063229,0.860981225967407,0.626448631286621,1,1,1,0.00412706414585567,0.00412706414585567,Long,0.00167085986063229,1,TRUE,TRUE,TRUE,TRUE
2025-07-01T09:15:00Z,3336.23,3338.74,3335.45,3338.54,0,vertical,6,0.000272537097429776,0.604785740375519,0.596465528011322,1,1,1,0.00212441994987743,0.00212441994987743,Long,0.000272537097429776,0,FALSE,TRUE,TRUE,FALSE
2025-07-01T11:30:00Z,3342.86,3345.97,3342.61,3345.83,1,upper,6,0.00172321298771661,0.386898934841156,0.520365297794342,-1,0,1,-0.000777388790334868,0.000777388790334868,Short,-0.00172321298771661,1,FALSE,FALSE,TRUE,FALSE
2025-07-01T13:00:00Z,3348.61,3352.25,3348.32,3350.66,1,upper,5,0.00148440529423052,0.757134020328522,0.78882098197937,-1,1,1,-0.00221993580752722,0.00221993580752722,Short,-0.00148440529423052,1,FALSE,FALSE,TRUE,FALSE
2025-07-01T14:15:00Z,3350.53,3357.05,3350.46,3352.13,-1,lower,4,-0.00173579929599488,0.811140298843384,0.891231715679169,-1,1,1,-0.00265855913410261,0.00265855913410261,Short,0.00173579929599488,-1,TRUE,TRUE,TRUE,TRUE
2025-07-01T15:15:00Z,3347.62,3350.16,3346.01,3349.57,0,vertical,6,-0.00117397376672741,0.78078019618988,0.573927938938141,1,1,1,-0.00386466974785048,-0.00386466974785048,Long,-0.00117397376672741,0,FALSE,FALSE,FALSE,FALSE
2025-07-02T02:00:00Z,3338.04,3344.84,3334.57,3343.23,-1,lower,2,-0.00179413872678675,0.685434997081757,0.747891783714294,-1,1,1,-0.00392005752702925,0.00392005752702925,Short,0.00179413872678675,-1,TRUE,TRUE,TRUE,TRUE
2025-07-02T02:30:00Z,3339.13,3339.65,3335.88,3336.59,-1,lower,6,-0.00194437476648035,0.774085342884064,0.829361021518707,-1,1,1,0.00166199300691203,-0.00166199300691203,Short,0.00194437476648035,-1,TRUE,TRUE,FALSE,TRUE
2025-07-02T04:00:00Z,3332.14,3333.21,3328.56,3330.15,1,upper,3,0.00199675584201601,0.585845232009888,0.368161171674728,1,1,0,0.000966456242536517,0.000966456242536517,Long,0.00199675584201601,1,TRUE,TRUE,TRUE,TRUE
2025-07-02T04:45:00Z,3333.45,3338.05,3333.45,3336.65,0,vertical,6,0.000973556779084824,0.736583769321442,0.526119530200958,1,1,1,0.000209769254590015,0.000209769254590015,Long,0.000973556779084824,0,FALSE,TRUE,TRUE,FALSE
2025-07-02T08:45:00Z,3332.97,3333.66,3329.8,3333.37,-1,lower,1,-0.00158110433777986,0.832539141178131,0.847489833831787,-1,1,1,-0.000522130544495042,0.000522130544495042,Short,0.00158110433777986,-1,TRUE,TRUE,TRUE,TRUE
2025-07-02T09:00:00Z,3333.34,3333.34,3327.95,3331.63,1,upper,5,0.00172245701053101,0.735945880413055,0.623941957950592,1,1,1,0.00735366696666131,0.00735366696666131,Long,0.00172245701053101,1,TRUE,TRUE,TRUE,TRUE
2025-07-02T13:45:00Z,3342.36,3342.36,3339.68,3342.14,1,upper,2,0.00140632324894289,0.874300479888916,0.862092316150665,1,1,1,-0.00143424148283926,-0.00143424148283926,Long,0.00140632324894289,1,TRUE,TRUE,FALSE,TRUE
2025-07-02T14:15:00Z,3338.05,3350.4,3337.68,3346.48,-1,lower,6,-0.00224068852054843,0.808566272258759,0.828348398208618,-1,1,1,-0.00556757271686783,0.00556757271686783,Short,0.00224068852054843,-1,TRUE,TRUE,TRUE,TRUE
2025-07-02T15:45:00Z,3343.84,3344.01,3334.86,3337.35,0,vertical,6,0.00137439779453526,0.57386177778244,0.539234936237335,1,1,1,-0.00331349741761197,-0.00331349741761197,Long,0.00137439779453526,0,FALSE,TRUE,FALSE,FALSE
2025-07-03T09:15:00Z,3357.1,3358.2,3354.27,3356.22,0,vertical,6,-2.38366237816669e-05,0.700731754302979,0.606061816215515,1,1,1,-0.0075637964071694,-0.0075637964071694,Long,-2.38366237816669e-05,0,FALSE,FALSE,FALSE,FALSE
2025-07-03T14:30:00Z,3349.66,3349.66,3311.51,3312.03,1,upper,2,0.00436768824692507,0.674744248390198,0.669412851333618,1,1,1,0.0043022870255229,0.0043022870255229,Long,0.00436768824692507,1,TRUE,TRUE,TRUE,TRUE
2025-07-04T02:00:00Z,3330.83,3331.08,3326.17,3326.31,1,upper,3,0.00120956531842342,0.687641739845276,0.49737486243248,1,1,0,0.000904497457103473,0.000904497457103473,Long,0.00120956531842342,1,TRUE,TRUE,TRUE,TRUE
2025-07-04T03:15:00Z,3329.48,3334.27,3329.38,3332.5,-1,lower,1,-0.00135556966156845,0.579922080039978,0.688201010227203,-1,1,1,-0.00047122879029341,0.00047122879029341,Short,0.00135556966156845,-1,TRUE,TRUE,TRUE,TRUE
2025-07-04T03:30:00Z,3332.49,3332.63,3327.97,3330.93,0,vertical,6,-0.000483465344802227,0.591830015182495,0.583063960075378,1,1,1,0.00141302072390348,0.00141302072390348,Long,-0.000483465344802227,0,FALSE,FALSE,TRUE,FALSE
