combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
69,5,0.05,0.1,2,5,0.855590035025533,0.801043905434449,0.738465893008774,0.768483063328424,0.736699138881336,0.643724696356275,0.757744241461477,0.696096315213426,61,46,5,53,41.25
70,3,0.1,0.1,2,5,0.841509700331415,0.787182219515908,0.731814322105859,0.758489182251559,0.731778747821754,0.64276048714479,0.754567116759333,0.694190719766167,217,188,94,65.5,141.125
71,4,0.1,0.1,2,5,0.842943282970199,0.787399178207274,0.732238890461364,0.758817921830315,0.732054670118821,0.64230498945889,0.725972994440032,0.681580909768829,193,184,86,74,134.25
72,5,0.1,0.1,2,5,0.871572921508031,0.816006097560976,0.75757146900651,0.785703801555849,0.725628091568699,0.633103448275862,0.729150119142176,0.677740863787375,4,4,232,182,105.5
73,3,0.03,0.2,2,5,0.843633507579421,0.786551042142096,0.731672799320691,0.758120096781289,0.732075431262532,0.632534024627349,0.775218427323272,0.696645253390435,182,198,85,187,163
74,4,0.03,0.2,2,5,0.849635273457472,0.79451425068955,0.733795641098217,0.762948793407887,0.734413403930151,0.634910059960027,0.756949960285941,0.690579710144928,127,105,26,165,105.75
75,5,0.03,0.2,2,5,0.859527787737432,0.803645274927248,0.742570053778658,0.771901434350864,0.733738331902377,0.647262647262647,0.741858617950755,0.691339748334567,31,27,44,26,32
76,3,0.05,0.2,2,5,0.851024379366286,0.79214675560946,0.739456552504953,0.764895330112721,0.7312687603722,0.629677419354839,0.775218427323272,0.694909220363119,115,127,110,217,142.25
77,4,0.05,0.2,2,5,0.855568816370943,0.797553516819572,0.738182847438438,0.766720564456857,0.725569156709131,0.628170894526035,0.747418586179508,0.682626042800145,62,78,233,229,150.5
78,5,0.05,0.2,2,5,0.853108428756892,0.798341268622331,0.735635437305406,0.765706709876998,0.733754405045896,0.645819170632223,0.754567116759333,0.695970695970696,89,69,43,36,59.25
79,3,0.1,0.2,2,5,0.85145403542578,0.796361412628039,0.737192187942259,0.765635334754171,0.724598070954892,0.625964010282776,0.7736298649722,0.692007104795737,107,88,240,235,167.5
